malo je zastrašujuće pročitati knjigu napisanu prije gotovo 150 godina i prepoznati društveno-političku situaciju sadašnjice	neutralno
prijan lovro seljačko je dijete koji pokušava postati gospodinom ali, zbog svojeg društvenog položaja (oliti nedostatka veza), ne uspijeva.	neutralno
on mora živjeti u limbu između sela i grada, intelektom ne pripadajući kući, a svojim pedigreom osuđen na periferije intelektualne elite, nikad u mogućnosti da zaista postane dio nje.	neutralno
u terminima modernih vremena, vrlo je zabavno primijetiti kako se novela zapravo radi o mladoj muškoj sponzoruši, donekle sklonoj dramatiziranju i samosažalijevanju, o tome kako je svećeništvo na ovim prostorima bila i ostala garancija dobrog života, izobilja ića i pića, tj. materijalne namirenosti, o odljevu mozgova, o deliluzioniranosti pri spoznaji vlastite neprivilegiranosti, o intelektu i pameti kao tragičnoj krivnji, vrhunskom teretu u nepoticajnom okruženju	neutralno
prijan lovro zapravo bi iznimno lako mogao postati maskota današnje hrvatske tuge, slovenskom podrijetlu usprkos.	neutralno
zapravo, uz dodatak korupcije, ta je slika par excellence sjaj i bijeda propalog intelektualca na ovim prostorima.	neutralno
naposljetku, ne mogu prešutjeti očitu manu/nesretnu okolnost šenoinog pripovjedača, a to je da zna imati šovinističkih ispada.	negativno
drago mi je da je završena.	negativno
naučila sam voljeti lektire i naporan jezik pa mi ni čitanje nije bilo teško.	mješovito
osobno mislim da su se likovi mogli bolje razraditi, te da bi bilo neizmjerno zanimljivije da su pripovjedač i lovro zajedno završili.	neutralno
promatrano u kontekstu toga vremena, to bi bilo nezamislivo i time bi imalo veći utjecaj.	neutralno
najdraži lik mi je bila žena sa početka djela koja je održala dugačak monolog o tome zašto ne voli hrvatske knjige.	pozitivno
a on joj je kao gospodin morao objasniti kako je u krivu.	neutralno
ali kao i većina djela iz tog vremena, nismo imali puno ženskih likova, a ne daj bože neku pametnu ili razumnu ženu.	negativno
kraj mi se činio odmjereno dramatičnim i, s obzirom na njegove okolnosti, moguć.	mješovito
šenoa je hit or miss autor i nekad bude savršen a nekada jedva pročitam roman do kraja.	mješovito
no, lovro je bio čisto okej.	pozitivno
